title,Cluster,genres,production_companies,popularity
The Lord of the Rings: The Two Towers,0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company",78.73
Captain America: The First Avenger,0,"Action, Adventure, Science Fiction",Marvel Studios,43.665
Suicide Squad,0,"Action, Adventure, Fantasy","DC Entertainment, Dune Entertainment, Warner Bros. Pictures, Atlas Entertainment, DC Comics, DC Films, Lin Pictures",35.356
Harry Potter and the Prisoner of Azkaban,0,"Adventure, Fantasy","Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited",124.386
Thor,0,"Adventure, Fantasy, Action",Marvel Studios,51.277
Iron Man 2,0,"Adventure, Action, Science Fiction","Marvel Studios, Fairview Entertainment",84.445
Batman Begins,1,"Action, Crime, Drama","Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited",66.286
Thor: Ragnarok,0,"Action, Adventure, Science Fiction",Marvel Studios,45.2
Inside Out,0,"Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures",107.292
Jurassic World,0,"Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",54.089
Se7en,2,"Crime, Mystery, Thriller","New Line Cinema, Juno Pix, Cecchi Gori Pictures",53.521
Harry Potter and the Goblet of Fire,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films, Patalex IV Productions Limited",134.276
Pirates of the Caribbean: The Curse of the Black Pearl,0,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films",80.509
Harry Potter and the Deathly Hallows: Part 2,0,"Fantasy, Adventure","Warner Bros. Pictures, Heyday Films",110.974
Star Wars,0,"Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox",88.559
Wonder Woman,0,"Action, Adventure, Fantasy","Atlas Entertainment, Cruel & Unusual Films, DC Films",54.628
Up,0,"Animation, Comedy, Family, Adventure",Pixar,90.968
Ant-Man,0,"Science Fiction, Action, Adventure",Marvel Studios,37.692
The Godfather,1,"Drama, Crime","Paramount, Alfran Productions",158.448
The Martian,1,"Drama, Adventure, Science Fiction","Scott Free Productions, Genre Films",76.0
Back to the Future,0,"Adventure, Comedy, Science Fiction","Universal Pictures, Amblin Entertainment",62.543
Star Wars: The Force Awakens,0,"Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",66.772
Spider-Man: No Way Home,0,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures",186.065
Harry Potter and the Order of the Phoenix,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films",117.168
Harry Potter and the Half-Blood Prince,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films",121.735
Logan,1,"Action, Drama, Science Fiction","Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox",54.194
Finding Nemo,2,"Animation, Family",Pixar,55.456
It,2,"Horror, Fantasy","New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions",74.73
John Wick,0,"Action, Thriller","87Eleven, DefyNite Films, MJW Films, Thunder Road",55.739
Fantastic Beasts and Where to Find Them,0,"Fantasy, Adventure, Family","Heyday Films, Warner Bros. Pictures",46.103
Harry Potter and the Deathly Hallows: Part 1,0,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films",111.984
Coco,0,"Family, Animation, Fantasy, Music, Comedy, Adventure","Pixar, Walt Disney Pictures",166.578
Captain America: The Winter Soldier,0,"Action, Adventure, Science Fiction",Marvel Studios,31.482
Spider-Man,0,"Fantasy, Action","Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",63.478
WALL·E,0,"Animation, Family, Science Fiction","Pixar, Walt Disney Pictures",58.517
Gone Girl,1,"Mystery, Thriller, Drama","Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox",46.611
The Hobbit: An Unexpected Journey,0,"Adventure, Fantasy, Action","Warner Bros. Pictures, Metro-Goldwyn-Mayer, New Line Cinema, WingNut Films",83.524
"Monsters, Inc.",2,"Animation, Comedy, Family",Pixar,86.936
Toy Story,0,"Animation, Adventure, Family, Comedy",Pixar,78.404
The Revenant,1,"Western, Drama, Adventure","Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment",36.747
Batman v Superman: Dawn of Justice,0,"Action, Adventure, Fantasy","Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC Entertainment, Syncopy",78.589
The Lion King,1,"Family, Animation, Drama","Walt Disney Pictures, Walt Disney Feature Animation",87.384
The Incredibles,0,"Action, Adventure, Animation, Family","Pixar, Walt Disney Pictures",62.609
Arrival,1,"Drama, Science Fiction, Mystery","FilmNation Entertainment, Lava Bear Films, Reliance Entertainment, Xenolinguistics, 21 Laps Entertainment, Paramount, Stage 6 Films",47.983
Parasite,1,"Comedy, Thriller, Drama",Barunson E&A,64.627
Thor: The Dark World,0,"Action, Adventure, Fantasy",Marvel Studios,59.968
The Amazing Spider-Man,0,"Action, Adventure, Fantasy","Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions",78.989
Split,2,"Horror, Thriller","Universal Pictures, Blinding Edge Pictures, Blumhouse Productions",44.51
Deadpool 2,0,"Action, Comedy, Adventure","Maximum Effort, Genre Films, 20th Century Fox",66.096
Kill Bill: Vol. 1,0,"Action, Crime","Miramax, A Band Apart, Super Cool ManChu",36.315
The Hunger Games: Catching Fire,0,"Adventure, Action, Science Fiction","Lionsgate, Color Force",49.864
Get Out,2,"Mystery, Thriller, Horror","Monkeypaw Productions, Blumhouse Productions, QC Entertainment",36.442
Bohemian Rhapsody,1,"Music, Drama, History","GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox",37.55
The Green Mile,1,"Fantasy, Drama, Crime","Castle Rock Entertainment, Darkwoods Productions, Warner Bros. Pictures, PolyGram Filmed Entertainment",83.739
The Maze Runner,0,"Action, Mystery, Science Fiction, Thriller","Ingenious Media, Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",83.206
The Hangover,2,Comedy,"Legendary Pictures, Green Hat Films, Warner Bros. Pictures",72.655
The Empire Strikes Back,0,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,35.265
Shrek,0,"Animation, Comedy, Fantasy, Adventure, Family","DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",94.456
Ratatouille,0,"Animation, Comedy, Family, Fantasy","Pixar, Walt Disney Pictures",82.488
Kingsman: The Secret Service,0,"Crime, Comedy, Action, Adventure","20th Century Fox, Marv Films, Cloudy Productions, TSG Entertainment",56.288
La La Land,1,"Comedy, Drama, Romance, Music","Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate",32.009
Frozen,0,"Animation, Family, Adventure, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios",85.794
Dunkirk,1,"War, Action, Drama","Warner Bros. Pictures, Syncopy, RatPac Entertainment",34.529
Zootopia,0,"Animation, Adventure, Family, Comedy","Walt Disney Animation Studios, Walt Disney Pictures",98.11
Lucy,0,"Action, Science Fiction","EuropaCorp, Canal+, Ciné+, TF1 Films Production",33.913
Jurassic Park,0,"Adventure, Science Fiction","Universal Pictures, Amblin Entertainment",24.213
Beauty and the Beast,2,"Family, Fantasy, Romance","Walt Disney Pictures, Mandeville Films",56.226
Pirates of the Caribbean: Dead Man's Chest,0,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",69.403
The Hunger Games: Mockingjay - Part 1,0,"Science Fiction, Adventure, Thriller","Lionsgate, Color Force",85.889
Venom,0,"Science Fiction, Action","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions",48.649
The Prestige,1,"Drama, Mystery, Science Fiction","Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy",48.832
I Am Legend,1,"Drama, Science Fiction, Thriller","Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",59.815
Captain Marvel,0,"Action, Adventure, Science Fiction",Marvel Studios,50.399
Baby Driver,0,"Action, Crime","Big Talk Productions, Working Title Films",44.974
Schindler's List,1,"Drama, History, War",Amblin Entertainment,65.084
Return of the Jedi,0,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,40.104
Spider-Man: Far From Home,0,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures",49.913
Skyfall,0,"Action, Adventure, Thriller","Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures",33.456
Gravity,1,"Science Fiction, Thriller, Drama","Esperanto Filmoj, Warner Bros. Pictures, Heyday Films",31.024
X-Men: Days of Future Past,0,"Action, Adventure, Science Fiction","Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox",60.194
Ready Player One,0,"Adventure, Action, Science Fiction","Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment",50.088
World War Z,0,"Action, Drama, Horror, Science Fiction, Thriller","GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment",55.042
Rogue One: A Star Wars Story,0,"Action, Adventure, Science Fiction",Lucasfilm Ltd.,33.1
Star Wars: The Last Jedi,0,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,47.241
Man of Steel,0,"Action, Adventure, Science Fiction","DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures",44.96
Despicable Me,2,"Family, Animation, Comedy","Illumination, Universal Pictures",47.416
Spider-Man 2,0,"Action, Adventure, Fantasy","Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",24.172
Spider-Man: Into the Spider-Verse,0,"Action, Adventure, Animation, Science Fiction","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions",80.675
Charlie and the Chocolate Factory,0,"Adventure, Comedy, Family, Fantasy","The Zanuck Company, Theobald Film Productions, Plan B Entertainment",60.854
Whiplash,1,"Drama, Music","Bold Films, Blumhouse Productions, Right of Way Films, Sierra/Affinity, Stage 6 Films, Sony Pictures Classics",54.495
The Departed,1,"Drama, Thriller, Crime","Vertigo Entertainment, Media Asia Films, Initial Entertainment Group, Warner Bros. Pictures, Plan B Entertainment",42.503
Toy Story 3,2,"Animation, Family, Comedy","Pixar, Walt Disney Pictures",69.145
Eternal Sunshine of the Spotless Mind,1,"Science Fiction, Drama, Romance","Focus Features, Anonymous Content, This Is That Productions",54.124
V for Vendetta,0,"Action, Thriller, Science Fiction","Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg",42.174
Star Wars: Episode I - The Phantom Menace,0,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,46.845
Her,1,"Romance, Science Fiction, Drama","Annapurna Pictures, Warner Bros. Pictures, Stage 6 Films",37.608
Pirates of the Caribbean: At World's End,0,"Adventure, Fantasy, Action","Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",81.883
The Hobbit: The Battle of the Five Armies,0,"Action, Adventure, Fantasy","Warner Bros. Pictures, WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer",94.048
The Hateful Eight,1,"Drama, Mystery, Western","The Weinstein Company, Double Feature Films, FilmColony",32.119
Alien,2,"Horror, Science Fiction","Brandywine Productions, 20th Century Fox",72.767
Sherlock Holmes,0,"Action, Adventure, Crime, Mystery","Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte",35.808
Alice in Wonderland,0,"Family, Fantasy, Adventure","Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",56.345
Pirates of the Caribbean: On Stranger Tides,0,"Adventure, Action, Fantasy","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",79.192
Spider-Man 3,0,"Fantasy, Action, Adventure","Laura Ziskin Productions, Marvel Studios, Columbia Pictures",61.149
A Quiet Place,1,"Horror, Drama, Science Fiction","Paramount, Platinum Dunes",38.002
Aquaman,0,"Action, Adventure, Fantasy","Warner Bros. Pictures, The Safran Company, DC Films",52.471
Cars,0,"Animation, Adventure, Comedy, Family","Pixar, Walt Disney Pictures",47.447
Toy Story 2,2,"Animation, Comedy, Family",Pixar,73.516
Men in Black,0,"Action, Adventure, Comedy, Science Fiction","Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",38.848
Edge of Tomorrow,0,"Action, Science Fiction","RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",51.408
300,0,"Action, Adventure, War","Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",44.918
Jumanji: Welcome to the Jungle,0,"Adventure, Action, Comedy, Fantasy","Radar Pictures, Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",26.669
Blade Runner,1,"Science Fiction, Drama, Thriller","Shaw Brothers, The Ladd Company, Warner Bros. Pictures",56.798
Star Wars: Episode III - Revenge of the Sith,0,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,41.215
Hacksaw Ridge,1,"Drama, History, War","Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film",74.994
Brave,0,"Animation, Adventure, Comedy, Family, Action, Fantasy","Walt Disney Pictures, Pixar",58.647
Ant-Man and the Wasp,0,"Action, Adventure, Science Fiction",Marvel Studios,34.801
Maleficent,0,"Fantasy, Adventure, Action, Family, Romance","Walt Disney Pictures, Roth Films",51.055
Passengers,1,"Drama, Romance, Science Fiction","Wanda Pictures, Columbia Pictures, Village Roadshow Pictures, Original Film, Company Films, Start Motion Pictures, LStar Capital",27.272
Life of Pi,1,"Adventure, Drama","Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One Productions",37.796
Ex Machina,1,"Drama, Science Fiction","DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions",26.767
The Amazing Spider-Man 2,0,"Action, Adventure, Fantasy","Marvel Entertainment, Columbia Pictures, Matt Tolmach Productions, Arad Productions",73.319
Blade Runner 2049,1,"Science Fiction, Drama","Torridon Films, 16:14 Entertainment, Scott Free Productions, Columbia Pictures, Alcon Entertainment, Thunderbird Entertainment, Warner Bros. Pictures",70.54
Ice Age,0,"Animation, Comedy, Family, Adventure","20th Century Fox Animation, 20th Century Fox, Blue Sky Studios",70.773
Justice League,0,"Action, Adventure, Science Fiction","RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",91.091
The Hobbit: The Desolation of Smaug,0,"Fantasy, Adventure, Action","Warner Bros. Pictures, WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer",70.03
Once Upon a Time… in Hollywood,1,"Comedy, Drama, Thriller","Heyday Films, Columbia Pictures, Bona Film Group",47.706
X-Men: Apocalypse,0,"Action, Adventure, Science Fiction, Fantasy","The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox",45.544
Divergent,0,"Action, Adventure, Science Fiction","Summit Entertainment, Red Wagon Entertainment",39.066
American Sniper,0,"War, Action","RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance",64.846
How to Train Your Dragon,0,"Fantasy, Adventure, Animation, Family","DreamWorks Animation, Paramount",54.176
Incredibles 2,0,"Action, Adventure, Animation, Family","Walt Disney Pictures, Pixar",49.215
John Wick: Chapter 2,0,"Action, Thriller, Crime","Thunder Road, 87Eleven, Summit Entertainment",88.285
X-Men: First Class,0,"Action, Science Fiction, Adventure","The Donners' Company, Bad Hat Harry Productions, 20th Century Fox",1.659
The Curious Case of Benjamin Button,1,"Drama, Fantasy, Romance","Paramount, Warner Bros. Pictures, The Kennedy/Marshall Company",42.669
The Terminator,0,"Action, Thriller, Science Fiction","Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding",44.969
Back to the Future Part II,0,"Adventure, Comedy, Science Fiction","Universal Pictures, Amblin Entertainment",30.516
Terminator 2: Judgment Day,0,"Action, Thriller, Science Fiction","Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+",69.45
GoodFellas,1,"Drama, Crime",Winkler Films,83.57
Drive,1,"Drama, Thriller, Crime","FilmDistrict, Bold Films, Marc Platt Productions, OddLot Entertainment, Motel Movies, Newbridge Film Capital",38.238
Pacific Rim,0,"Action, Science Fiction, Adventure","Double Dare You Productions, Legendary Pictures",55.847
The Hunger Games: Mockingjay - Part 2,0,"Action, Adventure, Science Fiction","Lionsgate, Color Force, Studio Babelsberg",43.902
Wreck-It Ralph,0,"Family, Animation, Comedy, Adventure","Walt Disney Animation Studios, Walt Disney Pictures",46.617
Ted,2,"Comedy, Fantasy","Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment",38.48
The Great Gatsby,1,"Drama, Romance","Spectrum Films, Village Roadshow Pictures, Bazmark Films, Red Wagon Entertainment, Warner Bros. Pictures, A+E Studios",36.651
Moana,0,"Adventure, Comedy, Family, Animation","Walt Disney Pictures, Walt Disney Animation Studios, Hurwitz Creative",17.963
The Shape of Water,1,"Drama, Fantasy, Romance","Double Dare You Productions, Fox Searchlight Pictures, Bull Productions, TSG Entertainment",29.339
Raiders of the Lost Ark,0,"Adventure, Action","Paramount, Lucasfilm Ltd.",60.763
Zombieland,2,"Comedy, Horror","Pariah, Columbia Pictures, Relativity Media",32.08
Finding Dory,0,"Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",26.562
Me Before You,1,"Drama, Romance","New Line Cinema, Sunswept Entertainment, Metro-Goldwyn-Mayer",79.741
1917,2,"War, History, Thriller","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners",44.356
Call Me by Your Name,1,"Romance, Drama","La Cinéfacture, RT Features, Frenesy Film, Water's End Productions, M.Y.R.A. Entertainment, CineFinance Italia",32.15
Silver Linings Playbook,1,"Drama, Comedy, Romance",The Weinstein Company,28.014
Shrek 2,0,"Animation, Family, Comedy, Fantasy, Adventure","DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",82.153
2012,0,"Action, Adventure, Science Fiction","Columbia Pictures, Centropolis Entertainment, Farewell Productions, The Mark Gordon Company",51.914
Prometheus,0,"Science Fiction, Adventure, Mystery","Dune Entertainment, Scott Free Productions, Brandywine Productions, 20th Century Fox",60.299
The Social Network,1,Drama,"Columbia Pictures, Relativity Media, Scott Rudin Productions, Michael De Luca Productions, Trigger Street Productions",36.101
Pirates of the Caribbean: Dead Men Tell No Tales,0,"Adventure, Action, Fantasy","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",62.006
Knives Out,2,"Comedy, Crime, Mystery","Lionsgate, MRC, T-Street Productions",39.064
Good Will Hunting,1,Drama,"Miramax, Lawrence Bender Productions, Be Gentlemen Limited Partnership",56.169
Fifty Shades of Grey,1,"Drama, Romance, Thriller","Focus Features, Michael De Luca Productions, Trigger Street Productions",96.283
The Devil Wears Prada,1,"Comedy, Drama, Romance","Fox 2000 Pictures, Dune Entertainment, Major Studio Partners, Peninsula Films, 20th Century Fox",50.84
The Incredible Hulk,0,"Science Fiction, Action, Adventure","Marvel Studios, Valhalla Motion Pictures",52.734
Rise of the Planet of the Apes,1,"Thriller, Action, Drama, Science Fiction","Dune Entertainment III, Dune Entertainment, Chernin Entertainment, Ingenious Media, Big Screen Productions, 20th Century Fox",38.032
Ocean's Eleven,2,"Thriller, Crime","Village Roadshow Pictures, NPV Entertainment, Jerry Weintraub Productions, Section Eight, Warner Bros. Pictures",39.17
Amélie,2,"Comedy, Romance","France 3 Cinéma, Claudie Ossard Productions, MMC Independent, Tapioca Films, Sofica Sofinergie 5, Victoires Productions, Canal+, Filmstiftung Nordrhein-Westfalen, Union Générale Cinématographique (UGC), Miramax",42.494
Prisoners,1,"Drama, Thriller, Crime","Madhouse Entertainment, Alcon Entertainment, 8:38 Productions, Warner Bros. Pictures, Summit Entertainment",35.085
The Conjuring,2,"Horror, Thriller","Evergreen Media Group, New Line Cinema, The Safran Company",105.394
The Notebook,1,"Romance, Drama","New Line Cinema, Avery Pix, Gran Via Productions",55.483
12 Years a Slave,1,"Drama, History","New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions",34.808
2001: A Space Odyssey,0,"Science Fiction, Mystery, Adventure","Stanley Kubrick Productions, Metro-Goldwyn-Mayer",48.932
Aladdin,0,"Animation, Family, Adventure, Fantasy, Romance","Walt Disney Pictures, Walt Disney Feature Animation",52.027
Green Book,1,"Drama, Comedy","Participant, DreamWorks Pictures, Cinetic Media",34.768
Tangled,2,"Animation, Family","Walt Disney Animation Studios, Walt Disney Pictures",84.14
X-Men,0,"Adventure, Action, Science Fiction","The Donners' Company, Bad Hat Harry Productions, 20th Century Fox",1.259
Kung Fu Panda,0,"Action, Adventure, Animation, Family, Comedy","DreamWorks Animation, Paramount",52.866
Transformers,0,"Adventure, Science Fiction, Action","DreamWorks Pictures, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production",10.172
E.T. the Extra-Terrestrial,0,"Science Fiction, Adventure, Family, Fantasy","Universal Pictures, Amblin Entertainment",50.334
Jurassic World: Fallen Kingdom,0,"Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",44.365
Dawn of the Planet of the Apes,1,"Science Fiction, Action, Drama, Thriller","TSG Entertainment, Chernin Entertainment, Ingenious Media",59.336
Your Name.,1,"Romance, Animation, Drama","CoMix Wave Films, TOHO, KADOKAWA, East Japan Marketing & Communications, AMUSE, voque ting, Lawson Entertainment, 4Kids Entertainment",68.999
Fantastic Beasts: The Crimes of Grindelwald,0,"Fantasy, Adventure, Family","Warner Bros. Pictures, Heyday Films",29.783
Die Hard,0,"Action, Thriller","Gordon Company, Silver Pictures, 20th Century Fox",36.754
Now You See Me 2,0,"Crime, Thriller, Action, Mystery","Summit Entertainment, Lionsgate, K/O Paper Products, TIK Films",33.753
Madagascar,0,"Family, Animation, Adventure, Comedy","DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",54.83
The Theory of Everything,1,"Drama, Romance",Working Title Films,20.867
Nightcrawler,1,"Crime, Drama, Thriller","Sierra/Affinity, Bold Films",44.274
Fast & Furious 6,0,"Action, Thriller, Crime","Universal Pictures, Relativity Media, Original Film, One Race, Fuji Television Network, F & F VI Productions A.I.E, dentsu",6.263
Oblivion,0,"Action, Science Fiction, Adventure, Mystery","Universal Pictures, Relativity Media, Monolith Pictures (III), Chernin Entertainment, Radical Studios",30.901
Bruce Almighty,2,"Fantasy, Comedy","Pit Bull Productions, Spyglass Entertainment, Universal Pictures, Shady Acres Entertainment",33.909
Gran Torino,1,Drama,"Matten Productions, Double Nickel Entertainment, Gerber Pictures, Malpaso Productions, Village Roadshow Pictures, WV Films IV, Warner Bros. Pictures",35.849
Furious 7,0,"Action, Thriller, Crime","Original Film, One Race, Universal Pictures",62.276
Minions,0,"Family, Animation, Adventure, Comedy","Illumination, Universal Pictures",26.414
Casino Royale,0,"Adventure, Action, Thriller","Eon Productions, Stillking Films, Columbia Pictures, Studio Babelsberg, Danjaq, Casino Royale Productions, Metro-Goldwyn-Mayer",43.407
Slumdog Millionaire,1,"Drama, Romance","Celador Films, Film4 Productions",22.969
Limitless,2,"Thriller, Mystery, Science Fiction","Relativity Media, Virgin Produced, Many Rivers Productions, Boy of the Year, Rogue Pictures, Mandate International",33.384
